date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-03T01:00:00+00:00,2026,REG,New Orleans Pelicans,Portland Trail Blazers,HOME,109,122,37,29,18,34,20,22,34,37,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810337/trail-blazers-pelicans,,
2026-01-01T00:00:00+00:00,2026,REG,New Orleans Pelicans,Chicago Bulls,AWAY,118,134,32,36,30,31,28,30,28,37,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810321/pelicans-bulls,,
2025-12-30T01:00:00+00:00,2026,REG,New Orleans Pelicans,New York Knicks,HOME,125,130,41,37,34,35,28,24,22,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810309/knicks-pelicans,,
2025-12-28T00:00:00+00:00,2026,REG,New Orleans Pelicans,Phoenix Suns,HOME,114,123,33,32,22,33,30,28,29,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810289/suns-pelicans,,
2025-12-27T01:00:00+00:00,2026,REG,New Orleans Pelicans,Phoenix Suns,HOME,108,115,23,26,25,27,32,28,28,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810284/suns-pelicans,,
2025-12-24T00:30:00+00:00,2026,REG,New Orleans Pelicans,Cleveland Cavaliers,AWAY,118,141,22,32,38,37,31,41,27,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810267/pelicans-cavaliers,,
2025-12-23T01:00:00+00:00,2026,REG,New Orleans Pelicans,Dallas Mavericks,HOME,119,113,36,34,21,29,22,24,40,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810259/mavericks-pelicans,,
2025-12-21T00:00:00+00:00,2026,REG,New Orleans Pelicans,Indiana Pacers,HOME,128,109,44,27,20,22,34,30,30,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810244/pacers-pelicans,,
2025-12-19T01:00:00+00:00,2026,REG,New Orleans Pelicans,Houston Rockets,HOME,133,128,24,33,21,34,38,32,36,20,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810230/rockets-pelicans,14,9
2025-12-15T00:00:00+00:00,2026,REG,New Orleans Pelicans,Chicago Bulls,AWAY,114,104,21,26,31,21,24,28,38,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836804/pelicans-bulls,,
