date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-04T23:00:00+00:00,2026,REG,New Orleans Pelicans,Miami Heat,AWAY,106,125,39,43,23,27,15,23,29,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810352/pelicans-heat,,
2026-01-03T01:00:00+00:00,2026,REG,New Orleans Pelicans,Portland Trail Blazers,HOME,109,122,37,29,18,34,20,22,34,37,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810337/trail-blazers-pelicans,,
2026-01-01T00:00:00+00:00,2026,REG,New Orleans Pelicans,Chicago Bulls,AWAY,118,134,32,36,30,31,28,30,28,37,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810321/pelicans-bulls,,
2025-12-30T01:00:00+00:00,2026,REG,New Orleans Pelicans,New York Knicks,HOME,125,130,41,37,34,35,28,24,22,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810309/knicks-pelicans,,
2025-12-28T00:00:00+00:00,2026,REG,New Orleans Pelicans,Phoenix Suns,HOME,114,123,33,32,22,33,30,28,29,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810289/suns-pelicans,,
2025-12-27T01:00:00+00:00,2026,REG,New Orleans Pelicans,Phoenix Suns,HOME,108,115,23,26,25,27,32,28,28,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810284/suns-pelicans,,
2025-12-24T00:30:00+00:00,2026,REG,New Orleans Pelicans,Cleveland Cavaliers,AWAY,118,141,22,32,38,37,31,41,27,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810267/pelicans-cavaliers,,
2025-12-23T01:00:00+00:00,2026,REG,New Orleans Pelicans,Dallas Mavericks,HOME,119,113,36,34,21,29,22,24,40,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810259/mavericks-pelicans,,
2025-12-21T00:00:00+00:00,2026,REG,New Orleans Pelicans,Indiana Pacers,HOME,128,109,44,27,20,22,34,30,30,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810244/pacers-pelicans,,
2025-12-19T01:00:00+00:00,2026,REG,New Orleans Pelicans,Houston Rockets,HOME,133,128,24,33,21,34,38,32,36,20,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810230/rockets-pelicans,14,9
2025-12-15T00:00:00+00:00,2026,REG,New Orleans Pelicans,Chicago Bulls,AWAY,114,104,21,26,31,21,24,28,38,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836804/pelicans-bulls,,
2025-12-12T01:00:00+00:00,2026,REG,New Orleans Pelicans,Portland Trail Blazers,HOME,143,120,39,30,31,38,35,29,38,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836748/trail-blazers-pelicans,,
2025-12-09T01:00:00+00:00,2026,REG,New Orleans Pelicans,San Antonio Spurs,HOME,132,135,25,35,32,42,45,23,30,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810221/spurs-pelicans,,
2025-12-06T22:00:00+00:00,2026,REG,New Orleans Pelicans,Brooklyn Nets,AWAY,101,119,24,35,20,27,31,34,26,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810205/pelicans-nets,,
2025-12-05T01:00:00+00:00,2026,REG,New Orleans Pelicans,Minnesota Timberwolves,HOME,116,125,30,35,32,27,28,26,26,37,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810192/timberwolves-pelicans,,
2025-12-03T01:00:00+00:00,2026,REG,New Orleans Pelicans,Minnesota Timberwolves,HOME,142,149,25,31,43,27,35,42,26,29,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401810176/timberwolves-pelicans,13,20
2025-12-01T02:30:00+00:00,2026,REG,New Orleans Pelicans,Los Angeles Lakers,AWAY,121,133,27,46,30,31,35,31,29,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810163/pelicans-lakers,,
