deporte,mercado,n_resueltas,accuracy,brier,precision_label
baloncesto,COMPLETO,1292,0.7260061919504643,0.19357766738390092,alta
baloncesto,Q2,188,0.7446808510638298,0.21089032127659574,media
baloncesto,Q1,340,0.611764705882353,0.2231200235882353,alta
baloncesto,Q3,182,0.4835164835164835,0.30588802956043953,media
baloncesto,Q4,150,0.4533333333333333,0.31741192853333333,media
